,item_type,ingredient
2403,SKU#:51752,Acesulfame Potassium
219,SKU#:51752,Water
531,SKU#:51752,Dextrose Less than 2% of: Citric Acid
2715,SKU#:51752,Zinc Gluconate
1779,SKU#:51752,Artificial Flavor
2733,SKU#:51752e,Zinc Gluconate
237,SKU#:51752e,Water
1797,SKU#:51752e,Artificial Flavor
1173,SKU#:51752e,Salt
3045,SKU#:51752e,Red 40
861,SKU#:51752e,Potassium Citrate
1485,SKU#:51752e,Sodium Citrate
549,SKU#:51752e,Dextrose Less than 2% of: Citric Acid
2421,SKU#:51752e,Acesulfame Potassium
2109,SKU#:51752e,Sucralose
11954,SKU#:53359,Biotin
5714,SKU#:53359,Choline Bitartrate
10394,SKU#:53359,Riboflavin
11330,SKU#:53359,Manganese Sulfate
11642,SKU#:53359,Phylloquinone
10082,SKU#:53359,Thiamine Chloride Hydrochloride
2906,SKU#:53359,Lutein
4466,SKU#:53359,Soy Lecithin
3530,SKU#:53359,Potassium Citrate
8834,SKU#:53359,Calcium Pantothenate
8210,SKU#:53359,d-Alpha-Tocopheryl Acetate
14450,SKU#:53359,Cytidine 5’-Monophosphate
13202,SKU#:53359,Calcium Phosphate
3842,SKU#:53359,Calcium Carbonate
2594,SKU#:53359,Beta-Carotene
6338,SKU#:53359,Ascorbyl Palmitate
6026,SKU#:53359,Choline Chloride
12578,SKU#:53359,Vitamin D3
15074,SKU#:53359,Disodium Uridine 5’-Monophosphate)
12266,SKU#:53359,Sodium Selenate
6962,SKU#:53359,Taurine
7898,SKU#:53359,Mixed Tocopherols
5402,SKU#:53359,Ferrous Sulfate
8522,SKU#:53359,Niacinamide
14138,SKU#:53359,Nucleotides (Adenosine 5’-Monophosphate
1658,SKU#:53359,Coconut Oil
10706,SKU#:53359,Pyridoxine Hydrochloride
1346,SKU#:53359,Soy Oil
12890,SKU#:53359,Cyanocobalamin
410,SKU#:53359,Lactose
4778,SKU#:53359,Potassium Chloride
5090,SKU#:53359,Magnesium Chloride
4154,SKU#:53359,Ascorbic Acid
14762,SKU#:53359,Disodium Guanosine 5’-Monophosphate
7586,SKU#:53359,Zinc Sulfate
7274,SKU#:53359,m-Inositol
