,item_type,Flavours
2453,SKU#:63505p12,Fudge Graham
2144,SKU#:63505p12,Double Dark Chocolate
3071,SKU#:63505p12,Salted Caramel Brownie
3689,SKU#:63505p12,Chocolate Caramel Cluster
290,SKU#:63505p12,Chocolate Almond Raisin
2762,SKU#:63505p12,Oatmeal Chocolate Chunk
1526,SKU#:63505p12,Cinnamon Roll
3208,SKU#:64115,nan
1660,SKU#:64117,nan
1359,SKU#:64121,nan
3524,SKU#:64123,nan
3173,SKU#:64125,nan
1141,SKU#:64172,Orange
3304,SKU#:64172,None
2377,SKU#:64172,Variety - Cherry
2068,SKU#:64172,Grape & Apple
1450,SKU#:64172,Variety - Strawberry
1759,SKU#:64172,Fruit Punch
2995,SKU#:64172,Orange & Grape
523,SKU#:64172,Cherry
832,SKU#:64172,Grape
214,SKU#:64172,Strawberry Lemonade
531,SKU#:64172p6,Grape
3312,SKU#:64172p6,None
840,SKU#:64172p6,Cherry
2076,SKU#:64172p6,Grape & Apple
1458,SKU#:64172p6,Variety - Strawberry
1149,SKU#:64172p6,Orange
1767,SKU#:64172p6,Fruit Punch
222,SKU#:64172p6,Strawberry Lemonade
3920,SKU#:64177,None
2375,SKU#:64177,Variety - Cherry
830,SKU#:64177,Grape
1757,SKU#:64177,Fruit Punch
521,SKU#:64177,Cherry
2066,SKU#:64177,Grape & Apple
2684,SKU#:64177,Strawberry Lemonade
212,SKU#:64177,Orange
1448,SKU#:64177,Variety - Strawberry
2993,SKU#:64177,Orange & Grape
3932,SKU#:64177p6,None
224,SKU#:64177p6,Orange
1460,SKU#:64177p6,Variety - Strawberry
842,SKU#:64177p6,Grape
2078,SKU#:64177p6,Grape & Apple
1151,SKU#:64177p6,Strawberry Lemonade
533,SKU#:64177p6,Cherry
1769,SKU#:64177p6,Fruit Punch
2565,SKU#:64242,nan
2517,SKU#:64242e,nan
989,SKU#:64246,nan
1564,SKU#:64246e,nan
677,SKU#:64248,nan
982,SKU#:64253,nan
3529,SKU#:64291,nan
3525,SKU#:64293,nan
3217,SKU#:64296,nan
2050,SKU#:64301,None
1123,SKU#:64301,Cherry Punch
505,SKU#:64301,Tropical Fruit
814,SKU#:64301,Blue Raspberry
196,SKU#:64301,Strawberry Lemonade
3627,SKU#:64301e,None
537,SKU#:64301e,Tropical Fruit
846,SKU#:64301e,Blue Raspberry
1155,SKU#:64301e,Cherry Punch
228,SKU#:64301e,Strawberry Lemonade
2976,SKU#:64307,None
195,SKU#:64307,Tropical Fruit
504,SKU#:64307,Strawberry Lemonade
1122,SKU#:64307,Cherry Punch
813,SKU#:64307,Blue Raspberry
2380,SKU#:64307e,None
217,SKU#:64307e,Tropical Fruit
835,SKU#:64307e,Blue Raspberry
526,SKU#:64307e,Strawberry Lemonade
1144,SKU#:64307e,Cherry Punch
3226,SKU#:64356,nan
2301,SKU#:64362,nan
3175,SKU#:64381,nan
1143,SKU#:64595,Strawberry Lemonade
2070,SKU#:64595,Grape & Apple
525,SKU#:64595,Grape
216,SKU#:64595,Cherry
2379,SKU#:64595,Variety - Cherry
1761,SKU#:64595,Fruit Punch
3924,SKU#:64595,None
834,SKU#:64595,Orange
1452,SKU#:64595,Variety - Strawberry
2997,SKU#:64595,Orange & Grape
532,SKU#:64595p6,Orange
1768,SKU#:64595p6,Fruit Punch
1459,SKU#:64595p6,Variety - Strawberry
2386,SKU#:64595p6,None
1150,SKU#:64595p6,Strawberry Lemonade
2077,SKU#:64595p6,Grape & Apple
223,SKU#:64595p6,Cherry
841,SKU#:64595p6,Grape
511,SKU#:64598,Cherry
820,SKU#:64598,Orange
3910,SKU#:64598,None
2674,SKU#:64598,Strawberry Lemonade
1747,SKU#:64598,Fruit Punch
1438,SKU#:64598,Variety - Strawberry
2365,SKU#:64598,Variety - Cherry
2983,SKU#:64598,Orange & Grape
2056,SKU#:64598,Grape & Apple
202,SKU#:64598,Grape
2692,SKU#:64598p6,None
529,SKU#:64598p6,Cherry
220,SKU#:64598p6,Grape
838,SKU#:64598p6,Orange
1765,SKU#:64598p6,Fruit Punch
2074,SKU#:64598p6,Grape & Apple
1456,SKU#:64598p6,Variety - Strawberry
1147,SKU#:64598p6,Strawberry Lemonade
3797,SKU#:64715,nan
969,SKU#:64715e,nan
3800,SKU#:64719,nan
941,SKU#:64719e,nan
2242,SKU#:64790,nan
1276,SKU#:64790e,nan
863,SKU#:64796,nan
1788,SKU#:64798,nan
2583,SKU#:64900,nan
2894,SKU#:64903,nan
3040,SKU#:64913,nan
2116,SKU#:64918,nan
1188,SKU#:64920,nan
3221,SKU#:65044,nan
133,SKU#:65047,nan
2768,SKU#:66040,Oatmeal Chocolate Chunk
1841,SKU#:66040,Dark Chocolate Almond
1223,SKU#:66040,Chocolate Peanut Butter
914,SKU#:66040,Chocolate Mint
2150,SKU#:66040,Double Dark Chocolate
1532,SKU#:66040,Cinnamon Roll
4004,SKU#:66040,Sweet & Salty Cashew Pretzel
2459,SKU#:66040,Fudge Graham
605,SKU#:66040,Chocolate Chip Cookie Dough
3386,SKU#:66040,Strawberry Yogurt
296,SKU#:66040,Chocolate Almond Raisin
3695,SKU#:66040,Chocolate Caramel Cluster
3077,SKU#:66040,Salted Caramel Brownie
2760,SKU#:66040p12,Oatmeal Chocolate Chunk
3069,SKU#:66040p12,Salted Caramel Brownie
2142,SKU#:66040p12,Double Dark Chocolate
2451,SKU#:66040p12,Fudge Graham
1833,SKU#:66040p12,Dark Chocolate Almond
597,SKU#:66040p12,Chocolate Chip Cookie Dough
3687,SKU#:66040p12,Chocolate Caramel Cluster
1524,SKU#:66040p12,Cinnamon Roll
288,SKU#:66040p12,Chocolate Almond Raisin
3996,SKU#:66040p12,Sweet & Salty Cashew Pretzel
3378,SKU#:66040p12,Strawberry Yogurt
906,SKU#:66040p12,Chocolate Mint
1215,SKU#:66040p12,Chocolate Peanut Butter
1924,SKU#:66081,nan
3436,SKU#:66081e,nan
2541,SKU#:66084,nan
1870,SKU#:66084e,nan
3222,SKU#:66436,nan
3533,SKU#:66437p4,nan
1253,SKU#:66439,nan
1,SKU#:66439e,nan
3708,SKU#:66441,nan
2803,SKU#:66441e,nan
248,SKU#:66534,nan
3207,SKU#:66546,nan
1081,SKU#:66639,nan
500,SKU#:66641,Kiwi Berry Mist
3899,SKU#:66641,None
191,SKU#:66641,Berry Frost
809,SKU#:66641,Iced Grape
1118,SKU#:66641,Chilled Cherry Pomegranate
1427,SKU#:66641,Orange Breeze
2393,SKU#:66641e,None
230,SKU#:66641e,Berry Frost
539,SKU#:66641e,Orange Breeze
848,SKU#:66641e,Kiwi Berry Mist
1157,SKU#:66641e,Iced Grape
1466,SKU#:66641e,Chilled Cherry Pomegranate
2985,SKU#:66643,None
513,SKU#:66643,Berry Frost
1440,SKU#:66643,Orange Breeze
822,SKU#:66643,Iced Grape
204,SKU#:66643,Kiwi Berry Mist
1131,SKU#:66643,Chilled Cherry Pomegranate
3628,SKU#:66643e,None
538,SKU#:66643e,Orange Breeze
229,SKU#:66643e,Kiwi Berry Mist
1156,SKU#:66643e,Iced Grape
1465,SKU#:66643e,Chilled Cherry Pomegranate
847,SKU#:66643e,Berry Frost
1739,SKU#:66645,None
1121,SKU#:66645,Kiwi Berry Mist
194,SKU#:66645,Chilled Cherry Pomegranate
812,SKU#:66645,Berry Frost
503,SKU#:66645,Iced Grape
