item_id,flavour
67165,Milk Chocolate
67165,None
67165,Mixed Berry
67165,Cafe Mocha
67165,French Vanilla
67214,None
67214,Milk Chocolate
67214,Classic Vanilla
67217,None
67217,Classic Vanilla
67217,Milk Chocolate
67220,None
67220,Cherry
67220,Grape
67220p6,None
67220p6,Cherry
67220p6,Grape
67225,None
67225,Cherry
67225,Grape
67225p6,None
67225p6,Grape
67225p6,Cherry
67247,None
67247,Fruity Cereal
67247,Chocolate Ice Cream
67249,None
67249,Chocolate Ice Cream
67249,Fruity Cereal
67254,None
67254,Vanilla Ice Cream
67254,Chocolate Marshmallow
67257,Chocolate Marshmallow
67257,None
67257,Vanilla Ice Cream
67257,Orange Cream
67260,None
67260,Pineapple Coconut
67260,Butter Coffee
67260,White Chocolate Coconut
67263,None
67263,Butter Coffee
67263,Pineapple Coconut
67263,White Chocolate Coconut
67272,None
67272,Chocolate Marshmallow
67272,Vanilla Ice Cream
67276,None
67276,Chocolate Marshmallow
67276,Orange Cream
67276,Vanilla Ice Cream
67278,None
67278,Vanilla Ice Cream
67278,Orange Cream
67278,Chocolate Marshmallow
67281,None
67281,French Vanilla
67281,Cafe Mocha
67281,Milk Chocolate
67281,Mixed Berry
67285p80,Grape & Apple
67285p80,Strawberry Lemonade
67285p80,None
67285p80,Orange
67285p80,Fruit Punch
67285p80,Cherry
67285p80,Variety - Strawberry
67285p80,Grape
67285p80,Variety - Cherry
67285p80,Orange & Grape
67287p80,None
67287p80,Orange Breeze
67287p80,Berry Frost
67287p80,Strawberry Freeze
67287p80,Variety - Berry Frost & Strawberry Freeze
67298,Pineapple Coconut
67298,None
67298,Butter Coffee
67298,White Chocolate Coconut
67317,nan
67317e,nan
67319,nan
67319e,nan
67330,None
67330,Strawberry
67330,Vanilla
67330,Milk Chocolate
67330,Creamy Caramel
67426,None
67426,Berry Frost
67426,Strawberry Freeze
67426,Orange Breeze
67426,Variety - Berry Frost & Strawberry Freeze
67426p6,None
67426p6,Berry Frost
67426p6,Orange Breeze
67426p6,Variety - Berry Frost & Strawberry Freeze
67426p6,Strawberry Freeze
67434,Orange Breeze
67434,None
67434,Kiwi Berry Mist
67434,Iced Grape
67434,Berry Frost
67434,Chilled Cherry Pomegranate
67434e,None
67434e,Berry Frost
67434e,Kiwi Berry Mist
67434e,Iced Grape
67434e,Chilled Cherry Pomegranate
67434e,Orange Breeze
67436,nan
67438,nan
67440,nan
67442,nan
67446,nan
67448,nan
67448p4,nan
67450,None
67450,Vanilla
67450,Chocolate
67453,None
67453,Vanilla
67453,Chocolate
67461,None
67461,Unflavored
67461,Grape
67461,Bubble Gum
67461,Mixed Fruit
67461,Strawberry
67461,Coconut Burst
67461e,None
67461e,Strawberry
67461e,Bubble Gum
67461e,Coconut Burst
67461e,Grape
67461e,Unflavored
67461e,Mixed Fruit
67463,None
67463,Vanilla Frosting
67463,White Chocolate Cream
67466,None
67466,White Chocolate Cream
67466,Vanilla Frosting
67472,None
67472,Strawberry Chill
67472,Berry Freeze
67475,None
67475,Berry Freeze
67475,Strawberry Chill
67495,None
67495,Birthday Cake
67495,Fruity Cereal
67495,White Chocolate Peanut Butter
67495p12,None
67495p12,White Chocolate Peanut Butter
67495p12,Birthday Cake
67495p12,Fruity Cereal
67500,None
67500,Birthday Cake
67500,White Chocolate Peanut Butter
67500,Fruity Cereal
67500p12,None
67500p12,White Chocolate Peanut Butter
67500p12,Fruity Cereal
67500p12,Birthday Cake
